[2018-04-17 14:15:39,341][generate_corpus.py:43::<module>()][INFO] Generate corpus\566.corpus
[2018-04-17 14:15:39,639][generate_corpus.py:43::<module>()][INFO] Generate corpus\567.corpus
[2018-04-17 14:15:40,202][generate_corpus.py:43::<module>()][INFO] Generate corpus\568.corpus
[2018-04-17 14:15:40,468][generate_corpus.py:43::<module>()][INFO] Generate corpus\569.corpus
[2018-04-17 14:15:40,718][generate_corpus.py:43::<module>()][INFO] Generate corpus\570.corpus
[2018-04-17 14:15:41,239][generate_corpus.py:43::<module>()][INFO] Generate corpus\571.corpus
[2018-04-17 14:15:42,149][generate_corpus.py:43::<module>()][INFO] Generate corpus\572.corpus
[2018-04-17 14:15:42,164][generate_corpus.py:45::<module>()][WARNING] 573.html: 0 tags found
[2018-04-17 14:15:42,466][generate_corpus.py:43::<module>()][INFO] Generate corpus\574.corpus
[2018-04-17 14:15:42,644][generate_corpus.py:43::<module>()][INFO] Generate corpus\575.corpus
[2018-04-17 14:15:42,925][generate_corpus.py:43::<module>()][INFO] Generate corpus\576.corpus
[2018-04-17 14:15:43,128][generate_corpus.py:43::<module>()][INFO] Generate corpus\577.corpus
[2018-04-17 14:15:43,467][generate_corpus.py:45::<module>()][WARNING] 578.html: 0 tags found
[2018-04-17 14:15:43,873][generate_corpus.py:43::<module>()][INFO] Generate corpus\579.corpus
[2018-04-17 14:15:44,326][generate_corpus.py:43::<module>()][INFO] Generate corpus\580.corpus
[2018-04-17 14:15:44,452][generate_corpus.py:43::<module>()][INFO] Generate corpus\581.corpus
[2018-04-17 14:15:44,468][generate_corpus.py:45::<module>()][WARNING] 582.html: 0 tags found
[2018-04-17 14:15:44,656][generate_corpus.py:43::<module>()][INFO] Generate corpus\583.corpus
[2018-04-17 14:15:44,734][generate_corpus.py:45::<module>()][WARNING] 584.html: 1 tags found
[2018-04-17 14:15:44,968][generate_corpus.py:43::<module>()][INFO] Generate corpus\585.corpus
[2018-04-17 14:15:45,248][generate_corpus.py:43::<module>()][INFO] Generate corpus\586.corpus
[2018-04-17 14:15:45,451][generate_corpus.py:43::<module>()][INFO] Generate corpus\587.corpus
[2018-04-17 14:15:45,623][generate_corpus.py:43::<module>()][INFO] Generate corpus\588.corpus
[2018-04-17 14:15:45,763][generate_corpus.py:43::<module>()][INFO] Generate corpus\589.corpus
[2018-04-17 14:15:45,857][generate_corpus.py:43::<module>()][INFO] Generate corpus\590.corpus
[2018-04-17 14:15:46,243][generate_corpus.py:43::<module>()][INFO] Generate corpus\591.corpus
[2018-04-17 14:15:46,342][generate_corpus.py:45::<module>()][WARNING] 592.html: 2 tags found
[2018-04-17 14:15:46,827][generate_corpus.py:43::<module>()][INFO] Generate corpus\593.corpus
[2018-04-17 14:15:46,858][generate_corpus.py:45::<module>()][WARNING] 594.html: 0 tags found
[2018-04-17 14:15:47,139][generate_corpus.py:43::<module>()][INFO] Generate corpus\595.corpus
[2018-04-17 14:15:47,654][generate_corpus.py:43::<module>()][INFO] Generate corpus\596.corpus
[2018-04-17 14:15:47,919][generate_corpus.py:43::<module>()][INFO] Generate corpus\597.corpus
[2018-04-17 14:15:48,060][generate_corpus.py:43::<module>()][INFO] Generate corpus\598.corpus
[2018-04-17 14:15:48,201][generate_corpus.py:43::<module>()][INFO] Generate corpus\599.corpus
[2018-04-17 14:15:48,435][generate_corpus.py:45::<module>()][WARNING] 600.html: 1 tags found
[2018-04-17 14:15:48,624][generate_corpus.py:43::<module>()][INFO] Generate corpus\601.corpus
[2018-04-17 14:15:48,749][generate_corpus.py:43::<module>()][INFO] Generate corpus\602.corpus
[2018-04-17 14:15:48,952][generate_corpus.py:43::<module>()][INFO] Generate corpus\603.corpus
[2018-04-17 14:15:49,247][generate_corpus.py:43::<module>()][INFO] Generate corpus\604.corpus
[2018-04-17 14:15:49,419][generate_corpus.py:43::<module>()][INFO] Generate corpus\605.corpus
[2018-04-17 14:15:49,529][generate_corpus.py:45::<module>()][WARNING] 606.html: 1 tags found
[2018-04-17 14:15:49,794][generate_corpus.py:43::<module>()][INFO] Generate corpus\607.corpus
[2018-04-17 14:15:49,888][generate_corpus.py:43::<module>()][INFO] Generate corpus\608.corpus
[2018-04-17 14:15:50,263][generate_corpus.py:43::<module>()][INFO] Generate corpus\609.corpus
